Red,Green,Blue
6149,5265,4797
6004,5256,4813
6004,5236,4808
5859,5074,4625
5741,4981,4561
5784,4986,4567
5957,5094,4661
6028,5125,4688
5944,5084,4648
5950,5084,4653
5953,5080,4650
5945,5052,4621
5982,5090,4660
5912,4986,4567
5912,4986,4567
5469,4817,4432
5282,4709,4321
5030,4683,4306
5416,4758,4363
6098,5095,4668
6159,5117,4692
6041,5048,4609
5356,4630,4249
5611,4773,4373
5853,4810,4388
6243,5048,4569
6594,5270,4739
6959,5499,4925
7126,5664,5038
6958,5620,5002
6204,5023,4493
6624,5257,4660
6862,5347,4719
6881,5410,4763
7579,5831,5101
7559,5697,4978
7672,5807,5092
7846,5999,5255
7720,5893,5144
7606,5792,5046
7661,5873,5114
7918,5988,5215
8192,6199,5384
7657,5891,5146
7423,5618,4914
7061,5483,4828
7228,5563,4880
6867,5320,4673
7900,5968,5162
9373,6980,5888
9671,7195,5994
9530,7004,5811
8878,6644,5544
7762,5984,5033
7919,6165,5168
7603,6040,5047
8081,6446,5338
7202,5948,4946
6741,5719,4740
6710,5773,4728
6425,5738,4682
7747,6683,5322
8211,7016,5548
8959,7563,5919
9560,8005,6228
9555,7934,6169
9555,7934,6169
9325,7677,5972
9412,7577,5891
9640,7824,6106
9804,7902,6085
10077,8170,6211
10098,8237,6233
10841,8840,6655
10600,8698,6566
9260,7735,5907
8539,7324,5614
9330,7839,5921
9693,8175,6177
9174,7879,5973
8410,7246,5494
8684,7400,5634
9300,7782,5884
10268,8473,6375
11108,9168,6864
10918,9045,6761
11133,9261,6955
10930,9073,6809
10212,8602,6498
10400,8744,6608
10768,9017,6741
9679,8255,6246
9794,8322,6237
9433,8065,6062
9964,8481,6323
9528,8129,6121
10468,8907,6618
10250,8732,6478
10177,8663,6422
9594,8148,6082
9003,7447,5746
9809,7873,6124
9741,7834,6175
9396,7418,5912
8902,6942,5661
8842,6854,5605
8894,6866,5633
8655,6671,5525
7436,5888,4958
8087,6262,5316
8384,6455,5572
7722,5872,5144
7860,6047,5323
7729,6057,5339
7087,5670,5022
7176,5653,4985
6140,5036,4502
6329,5206,4672
6301,5178,4685
6301,5178,4685
6451,5291,4824
5969,5017,4577
6122,5062,4607
5749,4853,4421
6140,5044,4592
6155,5080,4636
6053,5076,4633
5723,4872,4452
5522,4752,4368
5876,4979,4557
5670,4917,4516
5463,4859,4467
5408,4887,4481
5367,4788,4396
5448,4852,4452
5166,4631,4263
4958,4575,4234
4579,4380,4068
4651,4356,4054
4604,4363,4059
4213,4118,3841
4209,4155,3876
4385,4220,3937
4658,4336,4043
4904,4414,4122
4839,4370,4082
4943,4424,4124
5311,4601,4285
5499,4765,4432
5518,4757,4433
5588,4739,4405
5525,4702,4373
5398,4640,4321
5369,4613,4290
5824,4837,4484
5126,4428,4102
5276,4538,4193
6307,5055,4641
6234,4981,4566
5985,4924,4516
6234,5096,4660
