Red,Green,Blue
14419,16423,8971
14463,16472,8993
14075,16025,8779
13784,15693,8622
13784,15693,8622
13693,15596,8571
14048,16006,8766
13497,15390,8467
13004,14812,8201
12595,14339,7983
14520,16520,9019
14684,16682,9097
14224,16129,8831
12025,13643,7643
9374,10750,6323
8780,9964,6159
8238,9405,5929
8630,9820,6129
8738,9940,6183
8960,10183,6300
9050,10287,6341
9333,10586,6455
9633,10932,6584
9569,10885,6528
9723,11055,6569
10203,11644,6740
10109,11508,6673
10106,11567,6668
9993,11471,6635
13378,15292,8425
12851,14695,8151
13659,15635,8596
14159,16207,8867
14877,17041,9255
15486,17754,9590
15687,17993,9709
15657,17954,9717
15408,17660,9594
15003,17201,9382
14842,17032,9309
14174,16279,8954
14470,16636,9140
15796,18192,9893
15443,17773,9692
15462,17788,9694
15630,18024,9811
15747,18196,9905
15516,17914,9769
15864,18339,9989
15824,18296,9973
15799,18263,9956
15312,17683,9659
14595,16843,9244
14131,16292,9011
14431,16628,9190
14392,16582,9149
14392,16571,9138
14380,16571,9138
14205,16361,9038
14205,16350,9044
14132,16251,9000
14111,16223,8993
13385,15394,8595
13400,15434,8629
14573,16796,9287
14653,16887,9333
13901,15997,8895
14076,16230,9036
13696,15878,8888
13482,15672,8799
13457,15658,8804
13247,15441,8717
13187,15379,8694
13202,15403,8703
13212,15426,8709
13265,15485,8730
13323,15554,8759
13284,15482,8717
12950,15132,8528
12500,14636,8275
12000,14011,7970
12051,13994,8067
12103,14070,8144
11816,13725,7992
11402,13244,7761
13236,15572,8651
13630,16099,8882
13569,16026,8858
13352,15695,8790
12469,14478,8449
11600,13467,7987
11094,12910,7715
10864,12656,7578
11026,12848,7646
11274,13254,7682
11277,13370,7618
12014,14329,8040
11778,14077,7916
11596,13850,7820
12726,15179,8432
12953,15412,8525
13061,15530,8587
13173,15702,8654
13407,15950,8779
13437,15984,8785
13593,16201,8853
13520,16050,8776
14162,16765,9123
13866,16400,8952
13866,16400,8952
13807,16311,8929
14971,17683,9573
14634,17250,9340
12861,15065,8285
13071,15291,8414
14864,17384,9422
13302,15495,8536
15122,17654,9596
14890,17435,9518
15440,18112,9830
15319,17936,9722
15182,17768,9653
15295,17911,9751
13984,16311,8991
13326,15317,8808
12495,14294,8418
12676,14560,8459
14103,16432,9108
13754,16011,8928
14816,17359,9559
14262,16689,9280
13940,16304,9120
15478,18181,10076
14888,17469,9747
15435,18144,10072
15442,18148,10055
15436,18144,10074
15414,18109,10040
15419,18101,9978
15207,17869,9812
15375,18096,9974
14963,17603,9860
15480,18234,10201
15445,18199,10165
15200,17905,9994
15017,17700,9890
15088,17803,9889
15307,18092,9988
15123,17864,9831
14374,16924,9347
14235,16744,9267
15007,17693,9735
15273,18104,9967
15043,17842,9887
14715,17446,9687
14314,16975,9449
14176,16806,9373
13939,16523,9250
14282,16941,9464
13866,16464,9150
13692,16272,8976
13692,16272,8828
13265,15732,8828
12946,15352,8645
12720,14999,8642
11781,13841,8068
12530,14891,8271
13436,15987,8797
13562,16132,8879
13698,16260,9069
13644,16179,9048
13542,16049,8960
13011,15441,8623
13008,15435,8623
12787,15202,8463
12140,14469,8105
12112,14571,8154
12520,14894,8324
11562,13710,7708
11478,13612,7650
12528,14884,8238
12911,15355,8439
13073,15483,8515
13518,16023,8778
12657,15039,8288
12971,15437,8466
13080,15564,8532
11907,14173,7872
11783,14023,7819
12998,15500,8513
12839,15293,8421
12571,14964,8295
13222,15740,8666
12032,14309,7993
11668,13883,7798
12801,15308,8460
13070,15554,8574
13181,15684,8615
13557,16057,8799
13528,16001,8774
13257,15659,8595
12913,15182,8371
12579,14667,8166
11390,13265,7516
9557,11219,6565
10588,12361,7085
11900,13849,7779
12266,14292,7977
13286,15473,8529
13418,15629,8593
12786,14856,8227
13883,16107,8826
14480,16793,9149
14259,16465,9052
14259,16465,9052
13612,15604,8658
14111,16142,8920
14599,16674,9179
14469,16603,9096
12318,14131,7939
11679,13422,7588
14355,16538,9039
14183,16325,8942
13278,15223,8425
13387,15342,8454
13163,15056,8312
11882,13539,7596
12270,13958,7797
13230,15062,8338
13434,15281,8468
13513,15389,8530
13740,15665,8648
14058,16059,8817
13807,15828,8703
12502,14332,7993
10850,12468,7120
11052,12748,7234
10852,12539,7130
10663,12338,7034
10598,12279,7003
11697,13545,7582
12520,14528,8017
11623,13483,7517
12537,14530,8007
12345,14304,7894
11962,13888,7693
11962,13889,7694
11729,13593,7560
10928,12628,7119
10117,11700,6702
9622,11138,6443
9357,10841,6301
10029,11557,6629
10651,12216,6928
10837,12398,7009
10826,12407,7005
9691,11137,6425
8867,10201,6007
8982,10320,6065
9776,11208,6463
9822,11270,6492
9021,10398,6091
8791,10169,5991
10690,12337,6982
11974,13825,7655
11193,12931,7249
11193,12931,7249
10251,11862,6764
11243,13003,7287
11373,13146,7342
12224,14132,7792
13224,15313,8327
13243,15342,8350
11874,13736,7632
11667,13487,7522
12301,14199,7848
12126,14000,7763
12477,14395,7958
12887,14863,8177
13790,15930,8674
14024,16204,8805
14055,16224,8826
14471,16694,9056
