Red,Green,Blue
11147,8355,5224
10867,8213,5206
10327,7900,5075
9206,7177,4703
10119,7781,5049
10537,8056,5204
10581,8256,5398
9978,7574,4872
10567,7868,4990
11097,8231,5231
11431,8305,5198
12242,8889,5578
11001,7964,5024
10026,7333,4717
9739,7281,4738
9432,7083,4632
9668,7253,4726
7921,6339,4371
8048,6457,4449
10948,8082,5201
11668,8515,5385
12104,8841,5601
12780,9288,5867
12738,9277,5853
12675,9195,5788
12236,8916,5631
11933,8583,5395
11316,8242,5259
11740,8329,5192
11630,8260,5168
11368,8199,5196
11628,8307,5205
11628,8307,5205
11587,8280,5196
11374,8188,5186
11376,8174,5167
11240,8078,5104
11317,8141,5143
11523,8207,5130
11236,8071,5109
10777,7848,5038
11572,8229,5140
11330,8143,5156
11339,8200,5221
11431,8190,5156
10189,7538,4907
9740,7234,4744
9925,7481,4964
9648,7116,4636
9668,7100,4604
9222,6892,4540
9365,7058,4681
9755,7374,4870
9549,7382,4918
9341,7098,4657
9696,7416,4842
10047,7640,4942
9691,7462,4859
8974,7022,4643
9013,7116,4697
8279,6667,4469
8233,6700,4521
8581,6961,4650
8823,7035,4648
8821,6980,4626
8781,6829,4507
8605,6722,4468
8672,6830,4524
10296,7971,5136
9719,7493,4782
9623,7472,4817
7846,6382,4361
7465,6207,4341
8327,6750,4616
9453,7293,4803
10296,7669,4936
10687,7985,5151
10415,7745,4985
10194,7636,4912
10606,8070,5242
10792,8321,5506
10516,8080,5358
10203,7621,5002
10379,7615,4937
10379,7615,4937
10041,7264,4721
9564,6998,4674
9684,7061,4713
10158,7354,4870
10258,7354,4819
10664,7738,5093
11207,8007,5170
11216,7994,5178
11194,7949,5110
11184,7949,5114
11161,8013,5158
10943,8000,5214
11126,8129,5266
11141,8041,5177
11400,8309,5376
11409,8341,5405
11287,8294,5378
11389,8348,5430
11322,8384,5520
11272,8370,5544
10481,7659,5036
9824,7192,4819
9843,7174,4860
10320,7580,5145
9134,6800,4677
8782,6602,4573
8296,6369,4462
7819,6075,4303
7851,6076,4302
8012,6221,4423
8311,6239,4349
8244,6214,4351
8433,6434,4530
8636,6582,4623
8805,6739,4736
8976,6918,4869
8799,6653,4634
8870,6546,4510
8832,6575,4559
8588,6412,4448
8736,6566,4560
8832,6586,4535
9267,6892,4724
8958,6663,4576
8822,6617,4543
9029,6805,4614
9218,6989,4702
8943,6722,4476
8945,6681,4432
9201,6827,4488
9695,7332,4893
9866,7694,5249
9866,7694,5249
9713,7319,4825
9782,7290,4775
9366,7024,4680
9661,7176,4725
9803,7270,4794
9604,7095,4684
9698,7073,4634
10062,7299,4770
10197,7330,4747
10611,7646,4953
11122,7979,5120
11136,7920,5043
11038,7868,5017
11044,7860,5011
10829,7777,4977
9902,7332,4768
9840,7403,4859
10141,7805,5194
10441,7950,5227
10019,7575,4944
10695,8089,5248
9937,7410,4802
9286,6932,4545
8903,6729,4502
8598,6531,4424
8344,6394,4380
8241,6332,4356
8444,6452,4433
9037,6775,4576
8954,6668,4512
8903,6567,4451
8948,6715,4625
8754,6634,4593
8074,6202,4347
